"id","name","keterangan","is_active","id"
"__export__.cdn_triase_kebutuhan_1_9a5c63ff","UPPA","","True","__export__.cdn_triase_kebutuhan_1_9a5c63ff"
"__export__.cdn_triase_kebutuhan_2_4a8077d4","Airborne","","True","__export__.cdn_triase_kebutuhan_2_4a8077d4"
"__export__.cdn_triase_kebutuhan_3_2d419f53","Dekontaminan","","True","__export__.cdn_triase_kebutuhan_3_2d419f53"
