id;name;parent_id;id
__export__.klinik_diseases_category_2100_a1a3713f;A00;;__export__.klinik_diseases_category_2100_a1a3713f
__export__.klinik_diseases_category_2101_9c31d460;A01;;__export__.klinik_diseases_category_2101_9c31d460
__export__.klinik_diseases_category_2102_a108d0e5;A02;;__export__.klinik_diseases_category_2102_a108d0e5
__export__.klinik_diseases_category_2103_9c2c1f4b;A03;;__export__.klinik_diseases_category_2103_9c2c1f4b
__export__.klinik_diseases_category_2104_6217817f;A04;;__export__.klinik_diseases_category_2104_6217817f
__export__.klinik_diseases_category_2105_152d78f2;A05;;__export__.klinik_diseases_category_2105_152d78f2
__export__.klinik_diseases_category_2106_5b2e20ff;A06;;__export__.klinik_diseases_category_2106_5b2e20ff
__export__.klinik_diseases_category_2107_9447a62e;A07;;__export__.klinik_diseases_category_2107_9447a62e
__export__.klinik_diseases_category_2108_5a112a12;A08;;__export__.klinik_diseases_category_2108_5a112a12
__export__.klinik_diseases_category_2109_49392c07;A09;;__export__.klinik_diseases_category_2109_49392c07
__export__.klinik_diseases_category_2110_b8a0b82d;A15;;__export__.klinik_diseases_category_2110_b8a0b82d
__export__.klinik_diseases_category_2111_b6005521;A16;;__export__.klinik_diseases_category_2111_b6005521
__export__.klinik_diseases_category_2112_05f7e137;A17;;__export__.klinik_diseases_category_2112_05f7e137
__export__.klinik_diseases_category_2113_ac0ad3e7;A18;;__export__.klinik_diseases_category_2113_ac0ad3e7
__export__.klinik_diseases_category_2114_560b65c2;A19;;__export__.klinik_diseases_category_2114_560b65c2
__export__.klinik_diseases_category_2115_9762a2ee;A20;;__export__.klinik_diseases_category_2115_9762a2ee
__export__.klinik_diseases_category_2116_2e4de075;A21;;__export__.klinik_diseases_category_2116_2e4de075
__export__.klinik_diseases_category_2117_1c49440b;A22;;__export__.klinik_diseases_category_2117_1c49440b
__export__.klinik_diseases_category_2118_06e29262;A23;;__export__.klinik_diseases_category_2118_06e29262
__export__.klinik_diseases_category_2119_2cb91575;A24;;__export__.klinik_diseases_category_2119_2cb91575
__export__.klinik_diseases_category_2120_8cce265d;A25;;__export__.klinik_diseases_category_2120_8cce265d
__export__.klinik_diseases_category_2121_36690c9a;A26;;__export__.klinik_diseases_category_2121_36690c9a
__export__.klinik_diseases_category_2122_4ebd7c4e;A27;;__export__.klinik_diseases_category_2122_4ebd7c4e
__export__.klinik_diseases_category_2123_d614e5ee;A28;;__export__.klinik_diseases_category_2123_d614e5ee
__export__.klinik_diseases_category_2124_6c20b7f1;A30;;__export__.klinik_diseases_category_2124_6c20b7f1
__export__.klinik_diseases_category_2125_20e65ea0;A31;;__export__.klinik_diseases_category_2125_20e65ea0
__export__.klinik_diseases_category_2126_22fb7b9b;A32;;__export__.klinik_diseases_category_2126_22fb7b9b
__export__.klinik_diseases_category_2127_5e50f5b4;A33;;__export__.klinik_diseases_category_2127_5e50f5b4
__export__.klinik_diseases_category_2128_f2330db5;A34;;__export__.klinik_diseases_category_2128_f2330db5
__export__.klinik_diseases_category_2129_72f4bd55;A35;;__export__.klinik_diseases_category_2129_72f4bd55
__export__.klinik_diseases_category_2130_f7b3190a;A36;;__export__.klinik_diseases_category_2130_f7b3190a
__export__.klinik_diseases_category_2131_778b188e;A37;;__export__.klinik_diseases_category_2131_778b188e
__export__.klinik_diseases_category_2132_03a306e8;A38;;__export__.klinik_diseases_category_2132_03a306e8
__export__.klinik_diseases_category_2133_5c91607c;A39;;__export__.klinik_diseases_category_2133_5c91607c
__export__.klinik_diseases_category_2134_0335b114;A40;;__export__.klinik_diseases_category_2134_0335b114
__export__.klinik_diseases_category_2135_ba123e99;A41;;__export__.klinik_diseases_category_2135_ba123e99
__export__.klinik_diseases_category_2136_43c38668;A42;;__export__.klinik_diseases_category_2136_43c38668
__export__.klinik_diseases_category_2137_22794cb3;A43;;__export__.klinik_diseases_category_2137_22794cb3
__export__.klinik_diseases_category_2138_242d006d;A44;;__export__.klinik_diseases_category_2138_242d006d
__export__.klinik_diseases_category_2139_3494d2ed;A46;;__export__.klinik_diseases_category_2139_3494d2ed
__export__.klinik_diseases_category_2140_920f4d0e;A48;;__export__.klinik_diseases_category_2140_920f4d0e
__export__.klinik_diseases_category_2141_41e0a7bd;A49;;__export__.klinik_diseases_category_2141_41e0a7bd
__export__.klinik_diseases_category_2142_6bb052b1;A50;;__export__.klinik_diseases_category_2142_6bb052b1
__export__.klinik_diseases_category_2143_89094d58;A51;;__export__.klinik_diseases_category_2143_89094d58
__export__.klinik_diseases_category_2144_0372ef12;A52;;__export__.klinik_diseases_category_2144_0372ef12
__export__.klinik_diseases_category_2145_eeeddc47;A53;;__export__.klinik_diseases_category_2145_eeeddc47
__export__.klinik_diseases_category_2146_2ae6d91a;A54;;__export__.klinik_diseases_category_2146_2ae6d91a
__export__.klinik_diseases_category_2147_f70ac79a;A55;;__export__.klinik_diseases_category_2147_f70ac79a
__export__.klinik_diseases_category_2148_4ff2884b;A56;;__export__.klinik_diseases_category_2148_4ff2884b
__export__.klinik_diseases_category_2149_a42ef8fa;A57;;__export__.klinik_diseases_category_2149_a42ef8fa
__export__.klinik_diseases_category_2150_06d2077f;A58;;__export__.klinik_diseases_category_2150_06d2077f
__export__.klinik_diseases_category_2151_df6af42a;A59;;__export__.klinik_diseases_category_2151_df6af42a
__export__.klinik_diseases_category_2152_7d72663d;A60;;__export__.klinik_diseases_category_2152_7d72663d
__export__.klinik_diseases_category_2153_6384f9d4;A63;;__export__.klinik_diseases_category_2153_6384f9d4
__export__.klinik_diseases_category_2154_8d9411ce;A64;;__export__.klinik_diseases_category_2154_8d9411ce
__export__.klinik_diseases_category_2155_1026998a;A65;;__export__.klinik_diseases_category_2155_1026998a
__export__.klinik_diseases_category_2156_ef40d635;A66;;__export__.klinik_diseases_category_2156_ef40d635
__export__.klinik_diseases_category_2157_4ca8b3ad;A67;;__export__.klinik_diseases_category_2157_4ca8b3ad
__export__.klinik_diseases_category_2158_a7473a7c;A68;;__export__.klinik_diseases_category_2158_a7473a7c
